run_id,condition_index,repetition,seed,rule_policy,rule_identity,rule_habit,rule_neighbors,rule_engagement,rule_indifference,rule_alienation,rule_cross_pressure,mean_margin,control_change_rate,party_gap,turnout_rate,switch_rate,mean_voter_ideology
0,0,0,18402749602203652153,True,True,True,True,True,True,True,True,4.711704771803594,45.45454545454545,0.02,40.6,0.0,0.00018459077159394246
1,0,1,13808986468414001814,True,True,True,True,True,True,True,True,4.588200783575197,42.42424242424242,0.020000000000000004,47.6,0.0,-0.01045574364140712
2,0,2,10116586503037744457,True,True,True,True,True,True,True,True,3.8556747196412755,46.464646464646464,0.02,45.4,0.0,-0.00027480402061770423
3,0,3,17938835419667548604,True,True,True,True,True,True,True,True,5.385401415315582,41.41414141414141,0.02,41.6,0.0,0.006618179960408897
4,0,4,7060503153476306114,True,True,True,True,True,True,True,True,3.6364790741198334,47.474747474747474,0.020000000000000004,45.0,0.0,0.03907972529438561
5,0,5,16568399588521534032,True,True,True,True,True,True,True,True,4.413023132758136,42.42424242424242,0.020000000000000004,46.8,0.0,-0.03841188166083487
6,0,6,18090256421956235832,True,True,True,True,True,True,True,True,5.109539571837013,36.36363636363637,0.020000000000000004,45.4,0.0,-0.021594263594010905
7,0,7,6500944186947592735,True,True,True,True,True,True,True,True,4.286750526785943,47.474747474747474,0.019999999999999997,46.4,0.0,0.05299854459299065
8,0,8,5271768069377481754,True,True,True,True,True,True,True,True,3.8740068732512007,52.525252525252526,0.02,39.6,0.0,0.0012931654477242773
9,0,9,2006604973784634265,True,True,True,True,True,True,True,True,8.024380238547693,13.131313131313131,0.020000000000000004,41.4,0.0,0.028931817164361013
10,1,0,8549157227298285522,True,True,True,True,True,True,True,False,3.688028743500539,51.515151515151516,0.019999999999999997,42.0,0.0,0.034421194139164425
11,1,1,17819892903415314076,True,True,True,True,True,True,True,False,3.9870420038686767,43.43434343434343,0.02,44.2,0.0,-0.0008047894882334796
12,1,2,6364443465828727048,True,True,True,True,True,True,True,False,4.309449321989055,52.525252525252526,0.020000000000000004,45.6,0.0,0.008316650358292548
13,1,3,17862945032103662374,True,True,True,True,True,True,True,False,5.025459044071999,36.36363636363637,0.019999999999999997,45.0,0.0,0.02307172495313129
14,1,4,8942915744595678601,True,True,True,True,True,True,True,False,4.963508760886917,49.494949494949495,0.019999999999999997,42.2,0.0,-0.021234807607844908
15,1,5,7347863971886010909,True,True,True,True,True,True,True,False,4.763837946038796,35.35353535353536,0.019999999999999997,42.4,0.0,-0.02261887156885308
16,1,6,709215631201525422,True,True,True,True,True,True,True,False,4.6839417652236195,49.494949494949495,0.020000000000000004,46.8,0.0,-0.03540807550115863
17,1,7,8965320495098489664,True,True,True,True,True,True,True,False,4.298058930323023,56.56565656565657,0.020000000000000004,41.6,0.0,-0.028207118123168798
18,1,8,10497397459611048065,True,True,True,True,True,True,True,False,4.707394746780825,34.343434343434346,0.020000000000000004,45.4,0.0,-0.04260085968796632
19,1,9,5741987633286171860,True,True,True,True,True,True,True,False,5.22220924227509,44.44444444444444,0.019999999999999997,43.6,0.0,-0.020132352386789138
20,2,0,4155790647435686321,True,True,True,True,True,True,False,True,4.2318521633770585,54.54545454545455,0.020000000000000004,42.2,0.0,-0.026424452220898672
21,2,1,1302171993514254698,True,True,True,True,True,True,False,True,5.362352468538208,38.38383838383838,0.020000000000000004,44.2,0.0,-0.03051930219552758
22,2,2,11857022734734587972,True,True,True,True,True,True,False,True,5.21422668590143,43.43434343434343,0.020000000000000004,42.2,0.0,-0.017392801949112587
23,2,3,17512683940038534200,True,True,True,True,True,True,False,True,4.167575315514958,45.45454545454545,0.020000000000000004,46.6,0.0,-0.011598672927905024
24,2,4,792168699544626072,True,True,True,True,True,True,False,True,3.9711772727447485,57.57575757575758,0.02,42.2,0.0,0.015305628829553353
25,2,5,11598702600460565652,True,True,True,True,True,True,False,True,5.842558128592669,35.35353535353536,0.020000000000000004,44.0,0.0,0.028560259983923645
26,2,6,13559265507446260268,True,True,True,True,True,True,False,True,4.783324505109447,37.37373737373738,0.02,45.4,0.0,0.0005381682826112363
27,2,7,10465451002891458374,True,True,True,True,True,True,False,True,4.14021203662851,40.4040404040404,0.019999999999999997,45.6,0.0,0.009418295629018601
28,2,8,1655319314680752938,True,True,True,True,True,True,False,True,3.8693676269241233,51.515151515151516,0.019999999999999997,42.2,0.0,0.027140726247599105
29,2,9,11724536325231161156,True,True,True,True,True,True,False,True,4.5072067942114185,48.484848484848484,0.020000000000000004,40.0,0.0,0.04621117640436526
30,3,0,8053210096387026896,True,True,True,True,True,True,False,False,7.25944681366996,24.242424242424242,0.019999999999999997,44.6,0.0,0.05368614215303196
